X;CountryCode;PlasticsEuropeReg
Kuwait;KWT;Middle East, Africa
Lao People's Democratic Republic;LAO;Rest of Asia
Lebanon;LBN;Middle East, Africa
Liberia;LBR;Middle East, Africa
Libya;LBY;Middle East, Africa
Saint Lucia;LCA;Central & South America
Liechtenstein;LIE;EU27+3
Sri Lanka;LKA;Rest of Asia
Lesotho;LSO;Middle East, Africa
Lithuania;LTU;EU27+3
Luxembourg;LUX;EU27+3
Latvia;LVA;EU27+3
Macao;MAC;China
Saint Martin (French part);MAF;Rest
Morocco;MAR;Middle East, Africa
Monaco;MCO;EU27+3
Moldova, Republic of;MDA;CIS
Madagascar;MDG;Middle East, Africa
Maldives;MDV;Rest of Asia
Mexico;MEX;North America
Marshall Islands;MHL;Rest of Asia
Macedonia, the former Yugoslav Republic of;MKD;Rest
Mali;MLI;Middle East, Africa
Malta;MLT;EU27+3
Myanmar;MMR;Rest of Asia
Montenegro;MNE;Rest
Mongolia;MNG;Rest of Asia
Northern Mariana Islands;MNP;Rest of Asia
Mozambique;MOZ;Middle East, Africa
Mauritania;MRT;Middle East, Africa
Montserrat;MSR;Central & South America
Martinique;MTQ;Central & South America
Mauritius;MUS;Middle East, Africa
Malawi;MWI;Middle East, Africa
Malaysia;MYS;Rest of Asia
Mayotte;MYT;Middle East, Africa
Namibia;NAM;Middle East, Africa
New Caledonia;NCL;Rest of Asia
Niger;NER;Middle East, Africa
Norfolk Island;NFK;Rest
Nigeria;NGA;Middle East, Africa
Nicaragua;NIC;Central & South America
Niue;NIU;Rest of Asia
Netherlands;NLD;EU27+3
Norway;NOR;EU27+3
Nepal;NPL;Rest of Asia
Nauru;NRU;Rest of Asia
New Zealand;NZL;Rest of Asia
Oman;OMN;Middle East, Africa
Pakistan;PAK;Rest of Asia
Panama;PAN;Central & South America
Pitcairn;PCN;Rest
Peru;PER;Central & South America
Philippines;PHL;Rest of Asia
Palau;PLW;Rest of Asia
Papua New Guinea;PNG;Rest of Asia
Poland;POL;EU27+3
Puerto Rico;PRI;Central & South America
Korea, Democratic People's Republic of;PRK;Rest of Asia
Portugal;PRT;EU27+3
Paraguay;PRY;Central & South America
Palestine, State of;PSE;Middle East, Africa
French Polynesia;PYF;Rest of Asia
Qatar;QAT;Middle East, Africa
Reunion;REU;Middle East, Africa
Romania;ROU;EU27+3
Russian Federation;RUS;CIS
Rwanda;RWA;Middle East, Africa
Saudi Arabia;SAU;Middle East, Africa
Sudan;SDN;Middle East, Africa
Senegal;SEN;Middle East, Africa
Singapore;SGP;Rest of Asia
South Georgia and the South Sandwich Islands;SGS;Rest
Saint Helena, Ascension and Tristan da Cunha;SHN;Middle East, Africa
Svalbard and Jan Mayen;SJM;EU27+3
Solomon Islands;SLB;Rest of Asia
Sierra Leone;SLE;Middle East, Africa
El Salvador;SLV;Central & South America
San Marino;SMR;EU27+3
Somalia;SOM;Middle East, Africa
Saint Pierre and Miquelon;SPM;Central & South America
Serbia;SRB;Rest
South Sudan;SSD;Middle East, Africa
Sao Tome and Principe;STP;Middle East, Africa
Suriname;SUR;Central & South America
Slovakia;SVK;EU27+3
Slovenia;SVN;EU27+3
Sweden;SWE;EU27+3
Swaziland;SWZ;Middle East, Africa
Sint Maarten (Dutch part);SXM;Central & South America
Seychelles;SYC;Middle East, Africa
Syrian Arab Republic;SYR;Middle East, Africa
Turks and Caicos Islands;TCA;Central & South America
Chad;TCD;Middle East, Africa
Togo;TGO;Middle East, Africa
Thailand;THA;Rest of Asia
Tajikistan;TJK;CIS
Tokelau;TKL;Rest of Asia
Turkmenistan;TKM;CIS
Timor-Leste;TLS;Rest of Asia
Tonga;TON;Rest of Asia
Trinidad and Tobago;TTO;Central & South America
Tunisia;TUN;Middle East, Africa
Turkey;TUR;Rest of Asia
Tuvalu;TUV;Rest of Asia
Taiwan, Province of China;TWN;Rest of Asia
Tanzania, United Republic of;TZA;Middle East, Africa
Uganda;UGA;Middle East, Africa
Ukraine;UKR;Rest of Asia
United States Minor Outlying Islands;UMI;Rest
Uruguay;URY;Central & South America
United States;USA;North America
Uzbekistan;UZB;CIS
Holy See (Vatican City State);VAT;EU27+3
Saint Vincent and the Grenadines;VCT;Central & South America
Venezuela, Bolivarian Republic of;VEN;Central & South America
Virgin Islands, British;VGB;Central & South America
Virgin Islands, U.S.;VIR;Central & South America
Viet Nam;VNM;Rest of Asia
Vanuatu;VUT;Rest of Asia
Wallis and Futuna;WLF;Rest of Asia
Samoa;WSM;Rest of Asia
Yemen;YEM;Middle East, Africa
South Africa;ZAF;Middle East, Africa
Zambia;ZMB;Middle East, Africa
Zimbabwe;ZWE;Middle East, Africa
