region,country,iso3_country_code,note
Latin America,Saint Vincent and the Grenadines,VCT,
Latin America,Suriname,SUR,
Latin America,Trinidad and Tobago,TTO,
Latin America,Turks and Caicos Islands,TCA,
Latin America,Uruguay,URY,
Latin America,Venezuela,VEN,
Latin America,Puerto Rico,PRI,
Latin America,Saint-Martin (French part),MAF,
Western and Central Europe,Albania,ALB,
Western and Central Europe,Andorra,AND,
Western and Central Europe,Austria,AUT,
Western and Central Europe,Belgium,BEL,
Western and Central Europe,Belgium-Luxembourg,,Composite historical trade label; no single ISO 3166-1 code. Components map to BEL and LUX
Western and Central Europe,Bosnia Herzegovina,BIH,
Western and Central Europe,Bulgaria,BGR,
Western and Central Europe,Croatia,HRV,
Western and Central Europe,Cyprus,CYP,
Western and Central Europe,Czechia,CZE,
Western and Central Europe,Czechoslovakia,,"Dissolved 1992; formerly-used code CSK (now in ISO 3166-3), no current ISO 3166-1 code. Successors: CZE, SVK"
Western and Central Europe,Denmark,DNK,
Western and Central Europe,Estonia,EST,
Western and Central Europe,Faeroe Islands,FRO,
Western and Central Europe,Finland,FIN,
Western and Central Europe,Former Dem. Rep. of Germany,,"East Germany, dissolved 1990; formerly-used code DDR (now in ISO 3166-3), no current ISO 3166-1 code. Territory now part of DEU"
Western and Central Europe,Former Fed. Rep. of Germany,,West Germany pre-1990; historically used DEU but listed here as a former entity. Present-day unified Germany is DEU. Left blank to avoid duplicating the Germany row
Western and Central Europe,Former Yugoslavia,,"Dissolved 1990s; formerly-used code YUG (now in ISO 3166-3), no current ISO 3166-1 code"
Western and Central Europe,France,FRA,
Western and Central Europe,Germany,DEU,
Western and Central Europe,Gibraltar,GIB,
Western and Central Europe,Greece,GRC,
Western and Central Europe,Greenland,GRL,
Western and Central Europe,Holy See (Vatican City State),VAT,
Western and Central Europe,Hungary,HUN,
Western and Central Europe,Iceland,ISL,
Western and Central Europe,Ireland,IRL,
Western and Central Europe,Italy,ITA,
Western and Central Europe,Latvia,LVA,
Western and Central Europe,Lithuania,LTU,
Western and Central Europe,Luxembourg,LUX,
Western and Central Europe,Malta,MLT,
Western and Central Europe,Montenegro,MNE,
Western and Central Europe,Netherlands,NLD,
Western and Central Europe,Norway,NOR,
Western and Central Europe,Poland,POL,
Western and Central Europe,Portugal,PRT,
Western and Central Europe,Romania,ROU,
Western and Central Europe,San Marino,SMR,
Western and Central Europe,Serbia,SRB,
Western and Central Europe,Serbia and Montenegro,,"State union dissolved 2006; formerly-used code SCG (now in ISO 3166-3), no current ISO 3166-1 code. Successors: SRB, MNE"
Western and Central Europe,Slovakia,SVK,
Western and Central Europe,Slovenia,SVN,
Western and Central Europe,Spain,ESP,
Western and Central Europe,Sweden,SWE,
Western and Central Europe,Switzerland,CHE,
Western and Central Europe,North Macedonia,MKD,
Western and Central Europe,United Kingdom,GBR,
Western and Central Europe,Channel Islands,,Not a single ISO 3166-1 entity; comprises Guernsey (GGY) and Jersey (JEY)
Western and Central Europe,Isle of Man,IMN,
Western and Central Europe,Liechtenstein,LIE,
Western and Central Europe,Monaco,MCO,
Western and Central Europe,Svalbard and Jan Mayen Islands,SJM,
Western and Central Europe,Guernsey,GGY,
Western and Central Europe,Jersey,JEY,
Western and Central Europe,Kosovo,,"No official ISO 3166-1 code assigned. The placeholder XK / XKX is user-assigned, not part of the official standard"
Eastern Europe and Central Asia,Armenia,ARM,
Eastern Europe and Central Asia,Azerbaijan,AZE,
Eastern Europe and Central Asia,Belarus,BLR,
Eastern Europe and Central Asia,Former USSR,,"Dissolved 1991; formerly-used code SUN (now in ISO 3166-3), no current ISO 3166-1 code"
Eastern Europe and Central Asia,Georgia,GEO,
Eastern Europe and Central Asia,Kazakhstan,KAZ,
Eastern Europe and Central Asia,Kyrgyzstan,KGZ,
Eastern Europe and Central Asia,Rep. of Moldova,MDA,
Eastern Europe and Central Asia,Russian Federation,RUS,
Eastern Europe and Central Asia,Tajikistan,TJK,
Eastern Europe and Central Asia,Turkmenistan,TKM,
Eastern Europe and Central Asia,Ukraine,UKR,
Eastern Europe and Central Asia,Uzbekistan,UZB,
Africa,Algeria,DZA,
Africa,Angola,AGO,
Africa,Benin,BEN,
Africa,Botswana,BWA,
Africa,Burkina Faso,BFA,
Africa,Burundi,BDI,
Africa,Cabo Verde,CPV,
Africa,Cameroon,CMR,
Africa,Central African Rep.,CAF,
Africa,Chad,TCD,
Africa,Comoros,COM,
Africa,Congo,COG,
Africa,Côte d'Ivoire,CIV,
Africa,Dem. Rep. of the Congo,COD,
Africa,Djibouti,DJI,
Africa,Egypt,EGY,
Africa,Equatorial Guinea,GNQ,
Africa,Eritrea,ERI,
Africa,Ethiopia,ETH,
Africa,Former Ethiopia,,Historical entity (Ethiopia before 1993 Eritrea secession); no distinct ISO 3166-1 code. Present-day maps to ETH
Africa,Former Rhodesia Nyas,,"Federation of Rhodesia and Nyasaland (dissolved 1963); no ISO 3166-1 code. Successors map to ZWE, ZMB, MWI"
Africa,Former Sudan,,"Sudan before 2011 South Sudan secession; no distinct ISO 3166-1 code. Successors: SDN, SSD"
Africa,Former Tanganyika,,Historical entity (united with Zanzibar in 1964 to form Tanzania); no ISO 3166-1 code. Maps to TZA
Africa,Former Zanzibar and Pemba Isd,,Historical entity (united with Tanganyika in 1964); no ISO 3166-1 code. Maps to TZA
Africa,Gabon,GAB,
Africa,Gambia,GMB,
Africa,Ghana,GHA,
Africa,Guinea,GIN,
Africa,Guinea-Bissau,GNB,
Africa,Kenya,KEN,
Africa,Lesotho,LSO,
Africa,Liberia,LBR,
Africa,Libya,LBY,
Africa,Madagascar,MDG,
Africa,Malawi,MWI,
Africa,Mali,MLI,
Africa,Mauritania,MRT,
Africa,Mauritius,MUS,
Africa,Mayotte,MYT,
Africa,Morocco,MAR,
Africa,Mozambique,MOZ,
Africa,Namibia,NAM,
Africa,Niger,NER,
Africa,Nigeria,NGA,
Africa,Réunion,REU,
Africa,Rwanda,RWA,
Africa,Saint Helena,SHN,
Africa,Sao Tome and Principe,STP,
Africa,Senegal,SEN,
Africa,Seychelles,SYC,
Africa,Sierra Leone,SLE,
Africa,Somalia,SOM,
Africa,South Africa,ZAF,
Africa,South Sudan,SSD,
Africa,Sudan,SDN,
Africa,Eswatini,SWZ,
Africa,Togo,TGO,
Africa,Tunisia,TUN,
Africa,Uganda,UGA,
Africa,United Rep. of Tanzania,TZA,
Africa,Zambia,ZMB,
Africa,Zimbabwe,ZWE,
Africa,Western Sahara,ESH,
Middle East,Bahrain,BHR,
Middle East,Former Arab Rep. of Yemen,,North Yemen before 1990 unification; no current distinct ISO 3166-1 code. Present-day unified Yemen is YEM
Middle East,Former Dem. Yemen,,"South Yemen (PDR Yemen) before 1990 unification; formerly-used code YMD (now in ISO 3166-3), no current ISO 3166-1 code. Maps to YEM"
Middle East,Iran,IRN,
Middle East,Iraq,IRQ,
Middle East,Israel,ISR,
Middle East,Jordan,JOR,
Middle East,Kuwait,KWT,
Middle East,Lebanon,LBN,
Middle East,Oman,OMN,
Middle East,Qatar,QAT,
Middle East,Saudi Arabia,SAU,
Middle East,State of Palestine,PSE,
Middle East,Syria,SYR,
Middle East,Turkey,TUR,
Middle East,United Arab Emirates,ARE,
Middle East,Yemen,YEM,
Middle East,West Bank and Gaza,PSE,Maps to State of Palestine (PSE); duplicates the State of Palestine row in this region
Northeast Asia,Mainland China,CHN,
Northeast Asia,Hong Kong SAR of China,HKG,
Northeast Asia,Macao SAR of China,MAC,
Northeast Asia,Taiwan province of China,TWN,
Northeast Asia,Dem. People's Rep. of Korea,PRK,
Northeast Asia,Japan,JPN,
Northeast Asia,Mongolia,MNG,
Northeast Asia,Other Asia nes,,"Trade-reporting aggregate ('not elsewhere specified'), not a country; no ISO 3166-1 code"
Northeast Asia,Rep. of Korea,KOR,
Northeast Asia,Ryukyu Island,,Historical entity under US administration until 1972; no distinct ISO 3166-1 code. Now part of JPN
South Asia and the Pacific,Afghanistan,AFG,
South Asia and the Pacific,Australia,AUS,
South Asia and the Pacific,Bangladesh,BGD,
South Asia and the Pacific,Bhutan,BTN,
South Asia and the Pacific,Brunei Darussalam,BRN,
South Asia and the Pacific,Cambodia,KHM,
South Asia and the Pacific,Cook Islands,COK,
South Asia and the Pacific,East and West Pakistan,,"Historical entity (Pakistan before 1971 Bangladesh independence); no distinct ISO 3166-1 code. Successors: PAK, BGD"
South Asia and the Pacific,Fiji,FJI,
South Asia and the Pacific,Former Dem. Rep. of Vietnam,,North Vietnam before 1976 reunification; no ISO 3166-1 code. Maps to VNM
South Asia and the Pacific,Former Pacific Islands,,"Trust Territory of the Pacific Islands (dissolved); no ISO 3166-1 code. Successors include FSM, MHL, PLW, MNP"
South Asia and the Pacific,Former Rep. of Vietnam,,South Vietnam before 1976 reunification; no ISO 3166-1 code. Maps to VNM
South Asia and the Pacific,French Polynesia,PYF,
South Asia and the Pacific,FS Micronesia,FSM,
South Asia and the Pacific,India,IND,
South Asia and the Pacific,"India, excl. Sikkim",,Historical subset of India (before Sikkim's 1975 accession); no distinct ISO 3166-1 code. Maps to IND
South Asia and the Pacific,Indonesia,IDN,
South Asia and the Pacific,Kiribati,KIR,
South Asia and the Pacific,Lao People's Dem. Rep.,LAO,
South Asia and the Pacific,Malaysia,MYS,
South Asia and the Pacific,Maldives,MDV,
South Asia and the Pacific,Marshall Islands,MHL,
South Asia and the Pacific,Myanmar,MMR,
South Asia and the Pacific,N. Mariana Islands,MNP,
South Asia and the Pacific,Nepal,NPL,
South Asia and the Pacific,New Caledonia,NCL,
South Asia and the Pacific,New Zealand,NZL,
South Asia and the Pacific,Pakistan,PAK,
South Asia and the Pacific,Palau,PLW,
South Asia and the Pacific,Papua New Guinea,PNG,
South Asia and the Pacific,Peninsula Malaysia,,Subnational region of Malaysia; no distinct ISO 3166-1 code. Part of MYS
South Asia and the Pacific,Philippines,PHL,
South Asia and the Pacific,Sabah,,Subnational region (state) of Malaysia; no distinct ISO 3166-1 code. Part of MYS
South Asia and the Pacific,Samoa,WSM,
South Asia and the Pacific,Sarawak,,Subnational region (state) of Malaysia; no distinct ISO 3166-1 code. Part of MYS
South Asia and the Pacific,Singapore,SGP,
South Asia and the Pacific,Solomon Islands,SLB,
South Asia and the Pacific,Sri Lanka,LKA,
South Asia and the Pacific,Thailand,THA,
South Asia and the Pacific,Timor-Leste,TLS,
South Asia and the Pacific,Tokelau,TKL,
South Asia and the Pacific,Tonga,TON,
South Asia and the Pacific,Tuvalu,TUV,
South Asia and the Pacific,Vanuatu,VUT,
South Asia and the Pacific,Viet Nam,VNM,
South Asia and the Pacific,Wallis and Futuna Islands,WLF,
South Asia and the Pacific,American Samoa,ASM,
South Asia and the Pacific,Guam,GUM,
South Asia and the Pacific,Nauru,NRU,
South Asia and the Pacific,Niue,NIU,
South Asia and the Pacific,Norfolk Island,NFK,
South Asia and the Pacific,Pitcairn,PCN,
