 ,CountryCode,OECDPlasticProjReg
Papua New Guinea,PNG,Other non-OECD Asia
Poland,POL,OECD EU countries
Puerto Rico,PRI,Latin America
"Korea, Democratic People's Republic of",PRK,rest
Portugal,PRT,OECD EU countries
Paraguay,PRY,Latin America
"Palestine, State of",PSE,rest
French Polynesia,PYF,Other non-OECD Asia
Qatar,QAT,Middle East & North Africa
Reunion,REU,Other Africa
Romania,ROU,Other EU
Russian Federation,RUS,Other Eurasia
Rwanda,RWA,Other Africa
Saudi Arabia,SAU,Middle East & North Africa
Sudan,SDN,Other Africa
Senegal,SEN,Other Africa
Singapore,SGP,Other non-OECD Asia
South Georgia and the South Sandwich Islands,SGS,Latin America
"Saint Helena, Ascension and Tristan da Cunha",SHN,rest
Svalbard and Jan Mayen,SJM,rest
Solomon Islands,SLB,Other non-OECD Asia
Sierra Leone,SLE,Other Africa
El Salvador,SLV,Latin America
San Marino,SMR,rest
Somalia,SOM,Other Africa
Saint Pierre and Miquelon,SPM,rest
Serbia,SRB,Other Eurasia
South Sudan,SSD,Other Africa
Sao Tome and Principe,STP,Other Africa
Suriname,SUR,Latin America
Slovakia,SVK,OECD EU countries
Slovenia,SVN,OECD EU countries
Sweden,SWE,OECD EU countries
Swaziland,SWZ,Other Africa
Sint Maarten (Dutch part),SXM,Latin America
Seychelles,SYC,Other Africa
Syrian Arab Republic,SYR,Middle East & North Africa
Turks and Caicos Islands,TCA,Latin America
Chad,TCD,Other Africa
Togo,TGO,Other Africa
Thailand,THA,Other non-OECD Asia
Tajikistan,TJK,Other Eurasia
Tokelau,TKL,Other non-OECD Asia
Turkmenistan,TKM,Other Eurasia
Timor-Leste,TLS,Other non-OECD Asia
Tonga,TON,Other non-OECD Asia
Trinidad and Tobago,TTO,Latin America
Tunisia,TUN,Middle East & North Africa
Turkey,TUR,OECD Non-EU countries
Tuvalu,TUV,Other non-OECD Asia
"Taiwan, Province of China",TWN,China
"Tanzania, United Republic of",TZA,Other Africa
Uganda,UGA,Other Africa
Ukraine,UKR,Other Eurasia
United States Minor Outlying Islands,UMI,Other non-OECD Asia
Uruguay,URY,Latin America
United States,USA,USA
Uzbekistan,UZB,Other Eurasia
Holy See (Vatican City State),VAT,rest
Saint Vincent and the Grenadines,VCT,Latin America
"Venezuela, Bolivarian Republic of",VEN,Latin America
"Virgin Islands, British",VGB,rest
"Virgin Islands, U.S.",VIR,rest
Viet Nam,VNM,Other non-OECD Asia
Vanuatu,VUT,Other non-OECD Asia
Wallis and Futuna,WLF,Other non-OECD Asia
Samoa,WSM,Other non-OECD Asia
Yemen,YEM,Middle East & North Africa
South Africa,ZAF,Other Africa
Zambia,ZMB,Other Africa
Zimbabwe,ZWE,Other Africa
